y_true,y_score
1,0.9991
1,0.9968
1,0.9977
0,0.0118
1,0.9993
1,0.9970
1,0.9999
1,0.9999
0,0.0040
1,0.9987
1,0.9962
0,0.0023
1,0.9980
1,0.9992
0,0.0016
0,0.0177
1,0.9269
0,0.0064
0,0.0011
0,0.0078
0,0.0019
1,0.6564
0,0.0146
1,0.9989
1,0.9988
0,0.0239
0,0.0021
1,0.9996
0,0.0068
0,0.0069
1,0.9562
0,0.0025
1,0.9991
1,0.9968
1,0.9977
0,0.0118
1,0.9993
1,0.9970
1,0.9999
1,0.9999
0,0.0040
1,0.9987
1,0.9962
0,0.0023
1,0.9980
1,0.9992
0,0.0016
0,0.0177
1,0.9269
0,0.0064
0,0.0011
0,0.0078
0,0.0019
1,0.6564
0,0.0146
1,0.9989
1,0.9988
0,0.0239
0,0.0021
1,0.9996
0,0.0068
0,0.0069
1,0.9562
0,0.0025
1,0.9930
1,0.9991
0,0.0012
0,0.1190
1,0.9866
0,0.0042
1,0.9289
1,0.0669
1,0.9915
1,0.9925
0,0.1899
0,0.0049
1,0.1118
0,0.0018
0,0.0065
0,0.0014
0,0.0107
1,0.9984
0,0.0275
0,0.0009
