y_true,y_score
1,1.0000
1,1.0000
0,0.5448
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9919
0,0.1194
1,0.9994
1,0.9795
1,0.9999
1,1.0000
1,0.0207
1,0.9997
0,0.2635
0,0.0142
1,1.0000
0,0.0039
1,0.9996
0,0.0001
0,0.0001
0,0.0003
0,0.0000
0,0.0002
0,0.0000
0,0.0000
0,0.0000
0,0.0017
0,0.0000
0,0.0001
1,0.0028
1,1.0000
1,1.0000
0,0.5448
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9919
0,0.1194
1,0.9994
1,0.9795
1,0.9999
1,1.0000
1,0.0207
1,0.9997
0,0.2635
0,0.0142
1,1.0000
0,0.0039
1,0.9996
0,0.0001
0,0.0001
0,0.0003
0,0.0000
0,0.0002
0,0.0000
0,0.0000
0,0.0000
0,0.0017
0,0.0000
0,0.0001
1,0.0028
1,1.0000
1,1.0000
1,1.0000
1,0.9997
1,1.0000
1,1.0000
1,0.9999
1,0.9999
1,1.0000
1,1.0000
0,0.0262
0,0.0065
0,0.0176
1,0.0698
1,0.9999
0,0.0125
0,0.0000
0,0.0001
0,0.0001
0,0.0002
0,0.0001
0,0.0006
0,0.0000
0,0.0001
0,0.0005
0,0.0001
0,0.0001
1,0.0001
0,0.0000
0,0.0000
0,0.0000
0,0.0000
1,1.0000
1,1.0000
0,0.5448
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9919
0,0.1194
1,0.9994
1,0.9795
1,0.9999
1,1.0000
1,0.0207
1,0.9997
0,0.2635
0,0.0142
1,1.0000
0,0.0039
1,0.9996
0,0.0001
0,0.0001
0,0.0003
0,0.0000
0,0.0002
0,0.0000
0,0.0000
0,0.0000
0,0.0017
0,0.0000
0,0.0001
1,0.0028
1,1.0000
1,1.0000
1,1.0000
1,0.9997
1,1.0000
1,1.0000
1,0.9999
1,0.9999
1,1.0000
1,1.0000
0,0.0262
0,0.0065
0,0.0176
1,0.0698
1,0.9999
0,0.0125
0,0.0000
0,0.0001
0,0.0001
0,0.0002
0,0.0001
0,0.0006
0,0.0000
0,0.0001
0,0.0005
0,0.0001
0,0.0001
1,0.0001
0,0.0000
0,0.0000
0,0.0000
0,0.0000
1,0.9994
1,0.9949
1,0.9998
1,0.9999
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9139
1,0.0033
1,1.0000
1,0.9931
1,0.0034
0,0.0002
1,0.8806
1,0.9905
1,0.9999
1,1.0000
0,0.0014
1,0.9991
0,0.0003
0,0.0001
0,0.0008
0,0.0001
0,0.0001
1,0.9997
1,0.0053
1,0.9209
0,0.0411
0,0.0180
0,0.0001
0,0.0000
1,1.0000
1,1.0000
0,0.5448
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9919
0,0.1194
1,0.9994
1,0.9795
1,0.9999
1,1.0000
1,0.0207
1,0.9997
0,0.2635
0,0.0142
1,1.0000
0,0.0039
1,0.9996
0,0.0001
0,0.0001
0,0.0003
0,0.0000
0,0.0002
0,0.0000
0,0.0000
0,0.0000
0,0.0017
0,0.0000
0,0.0001
1,0.0028
1,1.0000
1,1.0000
1,1.0000
1,0.9997
1,1.0000
1,1.0000
1,0.9999
1,0.9999
1,1.0000
1,1.0000
0,0.0262
0,0.0065
0,0.0176
1,0.0698
1,0.9999
0,0.0125
0,0.0000
0,0.0001
0,0.0001
0,0.0002
0,0.0001
0,0.0006
0,0.0000
0,0.0001
0,0.0005
0,0.0001
0,0.0001
1,0.0001
0,0.0000
0,0.0000
0,0.0000
0,0.0000
1,0.9994
1,0.9949
1,0.9998
1,0.9999
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,0.9139
1,0.0033
1,1.0000
1,0.9931
1,0.0034
0,0.0002
1,0.8806
1,0.9905
1,0.9999
1,1.0000
0,0.0014
1,0.9991
0,0.0003
0,0.0001
0,0.0008
0,0.0001
0,0.0001
1,0.9997
1,0.0053
1,0.9209
0,0.0411
0,0.0180
0,0.0001
0,0.0000
1,1.0000
1,1.0000
1,0.9334
1,1.0000
1,1.0000
1,0.5008
1,1.0000
1,0.9997
0,0.0030
0,0.0003
1,0.9999
0,0.0179
0,0.0001
0,0.6763
0,0.0003
0,0.0000
0,0.0021
0,0.0001
0,0.0003
0,0.0001
0,0.0001
0,0.0016
