y_true,y_score
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
0,0.9997
1,1.0000
1,1.0000
1,1.0000
0,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,0.9999
1,0.0279
0,0.0027
0,0.0000
1,0.9982
0,0.0107
0,0.0000
1,1.0000
1,1.0000
1,0.9867
1,0.5032
1,0.9999
0,0.0000
1,1.0000
0,0.0000
0,0.0476
0,0.0019
1,1.0000
0,0.9960
0,0.8782
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
0,0.9997
1,1.0000
1,1.0000
1,1.0000
0,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,0.9999
1,0.0279
0,0.0027
0,0.0000
1,0.9982
0,0.0107
0,0.0000
1,1.0000
1,1.0000
1,0.9867
1,0.5032
1,0.9999
0,0.0000
1,1.0000
0,0.0000
0,0.0476
0,0.0019
1,1.0000
0,0.9960
0,0.8782
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.9991
1,0.9987
1,1.0000
0,0.9998
1,1.0000
1,0.9998
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,0.0003
1,0.0303
1,0.0111
1,0.0000
1,0.0007
1,0.0003
0,0.0000
1,0.0000
0,0.0000
0,0.0000
0,0.0001
0,0.0000
1,0.9191
0,0.0001
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
0,0.9997
1,1.0000
1,1.0000
1,1.0000
0,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,0.9999
1,0.0279
0,0.0027
0,0.0000
1,0.9982
0,0.0107
0,0.0000
1,1.0000
1,1.0000
1,0.9867
1,0.5032
1,0.9999
0,0.0000
1,1.0000
0,0.0000
0,0.0476
0,0.0019
1,1.0000
0,0.9960
0,0.8782
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.9991
1,0.9987
1,1.0000
0,0.9998
1,1.0000
1,0.9998
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,0.0003
1,0.0303
1,0.0111
1,0.0000
1,0.0007
1,0.0003
0,0.0000
1,0.0000
0,0.0000
0,0.0000
0,0.0001
0,0.0000
1,0.9191
0,0.0001
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,1.0000
1,1.0000
0,0.0004
1,0.9995
1,1.0000
1,1.0000
0,0.0000
1,0.9890
0,0.0001
0,0.0000
0,0.0000
0,0.0000
1,1.0000
0,0.0000
1,0.9459
0,0.9999
0,0.0005
0,0.0000
1,0.0000
0,0.0000
0,0.0000
0,0.0001
0,0.0000
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
0,0.9997
1,1.0000
1,1.0000
1,1.0000
0,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,0.9999
1,0.0279
0,0.0027
0,0.0000
1,0.9982
0,0.0107
0,0.0000
1,1.0000
1,1.0000
1,0.9867
1,0.5032
1,0.9999
0,0.0000
1,1.0000
0,0.0000
0,0.0476
0,0.0019
1,1.0000
0,0.9960
0,0.8782
0,0.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.9991
1,0.9987
1,1.0000
0,0.9998
1,1.0000
1,0.9998
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,1.0000
0,0.0000
0,0.0000
0,0.0000
1,0.0003
1,0.0303
1,0.0111
1,0.0000
1,0.0007
1,0.0003
0,0.0000
1,0.0000
0,0.0000
0,0.0000
0,0.0001
0,0.0000
1,0.9191
0,0.0001
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,1.0000
1,1.0000
0,0.0004
1,0.9995
1,1.0000
1,1.0000
0,0.0000
1,0.9890
0,0.0001
0,0.0000
0,0.0000
0,0.0000
1,1.0000
0,0.0000
1,0.9459
0,0.9999
0,0.0005
0,0.0000
1,0.0000
0,0.0000
0,0.0000
0,0.0001
0,0.0000
0,0.0000
1,1.0000
1,0.9999
1,1.0000
1,1.0000
1,0.9842
1,1.0000
1,1.0000
0,0.0000
1,1.0000
0,0.0001
1,1.0000
1,1.0000
1,1.0000
1,0.0036
1,1.0000
0,0.0000
1,0.9998
0,0.0000
1,1.0000
0,0.0001
0,0.0001
1,0.9999
0,0.0000
0,0.0001
0,0.0000
1,0.8625
0,0.0000
0,0.0000
0,0.0000
0,0.0026
0,0.0148
0,0.0078
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.1547
0,0.0003
0,0.0002
0,0.0017
1,0.9997
0,0.0121
0,0.0172
1,0.9999
1,1.0000
1,1.0000
0,0.0000
0,0.0000
1,0.9894
0,0.0000
1,0.9992
1,1.0000
1,1.0000
0,0.0049
0,0.0000
0,0.0001
0,0.0000
0,0.0001
1,0.0000
0,0.0028
0,0.0000
1,1.0000
0,0.9997
1,1.0000
1,1.0000
1,1.0000
0,1.0000
1,1.0000
1,1.0000
1,1.0000
1,1.0000
0,0.0001
1,0.9999
1,0.0279
0,0.0027
0,0.0000
1,0.9982
0,0.0107
0,0.0000
1,1.0000
1,1.0000
1,0.9867
1,0.5032
1,0.9999
